메뉴가격,지역특산메뉴여부,메뉴설명(MENU_DSCRN),메뉴카테고리대분류명,메뉴카테고리소분류명
20000.0,N,"고추,두부,돼지고기,파",중식,마파두부
25000.0,N,"야채,완자",중식,난자완스
6600.0,N,"야채,고기,쌀",한식,덮밥
8000.0,N,소머리,한식,곰탕
32000.0,N,"야채,돼지등뼈,감자,묵은지",한식,감자탕
8000.0,N,"야채,돼지고기,쌀,돼지등뼈",한식,뼈해장국
5000.0,N,"소고기,계란,가래떡",한식,떡국
15000.0,N,"야채,두부,고기,밀가루",한식,만두전골
7000.0,N,"야채,동태",한식,동태탕
3900.0,N,"야채,소고기",한식,소불고기
22000.0,N,소안심,한식,안심
7000.0,N,"야채,돼지고기,쌀",한식,고기덮밥
7000.0,N,"야채,두부",한식,두부찌개
7000.0,N,"야채,쌀,도토리묵",한식,찐만두
30000.0,N,"소고기,육사시미",일식,사시미
12000.0,N,"야채,해산물,누룽지",한식,누룽지탕
9000.0,N,"닭고기,밀가루",한식,가라아게
50000.0,N,"야채,해산물",한식,해물탕
13000.0,N,어묵,한식,어묵탕
5000.0,N,"야채,생선",한식,매운탕
14000.0,N,"야채,대구",한식,대구탕
15000.0,N,"왕새우,쌀",일식,초밥
6500.0,N,"야채,쌀,날치알",한식,알밥
5500.0,N,"야채,순두부",한식,순두부찌개
8000.0,N,"야채,해산물,순두부",패스트푸드,해물순두부
6000.0,N,"소고기,미역",한식,미역국
7000.0,N,"돼지고기,치즈,계란,밀가루,빵가루",한식,치즈돈까스
6000.0,N,"야채,쌀",한식,카레덮밥
5000.0,N,"야채,면",한식,비빔국수
11000.0,N,"해산물,계란,밀가루,부추",한식,부추전
1.0,N,"계란,밀가루,굴",한식,굴전
6000.0,N,"야채,닭고기,숙주,고사리",한식,닭개장
17900.0,N,"소갈비,마늘,흑마늘",양식,스테이크
3000.0,N,계란,한식,계란찜
20000.0,N,"야채,쌀,갈치",한식,갈치조림
16000.0,N,"야채,골뱅이",한식,골뱅이무침
4000.0,N,바닐라,제과류,젤라또
7000.0,N,"밀가루,설탕,코코아파우더,마스카포네치즈",양식,티라미수
3000.0,N,"계란,빵",제과류,토스트
